date,open,high,low,close,volume
2016-03-15,201.360000,202.530700,201.050000,202.170000,93169090
2016-03-16,201.600000,203.820000,201.550000,203.340000,129303179
2016-03-17,203.240000,205.230000,202.770000,204.630000,134278505
2016-03-18,204.170000,204.780000,203.800000,204.380000,138372404
2016-03-21,204.070000,204.940000,203.800000,204.670000,72926659
2016-03-22,203.760000,205.230000,203.570000,204.560000,97471939
2016-03-23,204.110000,204.330000,203.010000,203.209200,81052455
2016-03-24,202.000000,203.160000,201.740000,203.120000,84360853
2016-03-28,203.610000,203.860000,202.705000,203.240000,62408185
2016-03-29,202.760000,205.250000,202.400000,205.120800,92922863
2016-03-30,206.300000,206.870000,205.590000,206.020000,86365310
2016-03-31,205.910000,206.410000,205.330000,205.520000,94584110
2016-04-01,204.350000,207.140000,203.980000,206.920000,114423478
2016-04-04,206.830000,207.070000,205.890000,206.250000,63496969
2016-04-05,204.670000,206.264200,203.890000,204.189200,99662158
2016-04-06,204.290000,206.490000,203.980000,206.420000,91839761
2016-04-07,205.140000,205.560000,203.090000,203.950000,113859037
2016-04-08,205.340000,205.850000,203.870000,204.499200,95040598
2016-04-11,205.250000,206.070000,203.910000,204.020100,83757486
2016-04-12,204.220000,206.250000,203.700000,205.920000,115350567
2016-04-13,207.000000,208.100000,206.840000,208.000800,96336433
2016-04-14,208.070000,208.600000,207.600000,208.010000,65212883
2016-04-15,208.010000,208.172100,207.400000,207.780000,75761615
2016-04-18,207.140000,209.280000,207.000000,209.239200,82530960
2016-04-19,209.740000,210.200000,208.940000,209.900000,88316060
2016-04-20,209.950000,210.920000,209.390000,210.100000,81100314
2016-04-21,210.120000,210.250000,208.650000,208.970000,85695041
2016-04-22,208.550000,209.290000,207.910000,208.970000,99251724
2016-04-25,208.260000,208.660000,207.540000,208.610000,66166494
2016-04-26,209.040000,209.520000,208.360000,208.919200,75864174
2016-04-27,208.470000,209.810000,208.050000,209.350000,77329437
2016-04-28,208.460000,209.760000,206.960000,207.447500,97216169
2016-04-29,206.720000,207.130000,205.030000,206.330800,142424137
2016-05-02,206.920000,208.180000,206.410000,207.970000,62188015
2016-05-03,206.520000,206.800000,205.280000,206.159200,106422142
2016-05-04,204.990000,205.850000,204.420000,205.010000,92243810
2016-05-05,205.560000,205.980000,204.470000,204.970000,67619222
2016-05-06,204.060000,205.770000,203.880000,205.720000,89315004
2016-05-09,205.570000,206.400000,205.360000,205.889200,74374922
2016-05-10,206.720000,208.500000,206.640000,208.450000,77472207
2016-05-11,207.910000,208.540000,206.500000,206.500000,81726989
2016-05-12,207.290000,207.489900,205.370000,206.560000,89586308
2016-05-13,206.210000,206.860000,204.380000,204.760000,96474630
2016-05-16,204.960000,207.340000,204.890000,206.780000,77486827
2016-05-17,206.460000,206.800000,204.230000,204.850800,114924940
2016-05-18,204.440000,206.300000,203.630000,204.910000,123493379
2016-05-19,204.060000,204.540000,202.780000,204.200000,115430507
2016-05-20,204.920000,206.100000,204.860000,205.490000,104990408
2016-05-23,205.510000,205.840000,204.985000,205.210000,58682576
2016-05-24,206.170000,208.240000,206.140000,207.870000,93537808
2016-05-25,208.670000,209.770000,207.869100,209.280000,79221525
2016-05-26,209.440000,209.710000,208.970000,209.340000,55280699
2016-05-27,209.530000,210.250000,209.470000,210.240000,64211214
2016-05-31,210.560000,210.690000,209.180000,209.840000,109879380
2016-06-01,209.120000,210.480000,208.890000,210.270000,69936215
2016-06-02,209.800000,210.930000,209.239900,210.910000,63044749
2016-06-03,210.250000,210.690000,208.860000,210.280000,101757126
2016-06-06,210.700000,211.770000,210.510000,211.350000,64887045
2016-06-07,211.525000,212.340000,211.500000,211.680000,60974761
2016-06-08,211.840000,212.520000,211.689900,212.370000,66170920
2016-06-09,211.510000,212.220000,211.190000,212.080000,73786869
2016-06-10,210.460000,210.860000,209.430000,210.070000,113829158
2016-06-13,209.360000,210.370000,208.350000,208.449200,117751153
2016-06-14,208.000000,208.740000,206.919900,208.040000,125059286
2016-06-15,208.540000,209.360000,207.530000,207.750000,109124496
2016-06-16,206.730000,208.570000,205.590000,208.370000,149533065
2016-06-17,207.170000,207.200000,205.750000,206.520000,117055748
2016-06-20,208.820000,209.610000,207.750000,207.850000,82789603
2016-06-21,208.300000,208.920000,207.780000,208.440000,72461663
2016-06-22,208.650000,209.500000,207.930000,208.100000,95560471
2016-06-23,209.810000,210.870000,209.270000,210.810000,102731356
2016-06-24,203.630000,210.846300,202.720000,203.130000,333444397
2016-06-27,201.590000,201.600000,198.650000,199.600000,248988660
2016-06-28,201.480000,203.230000,201.120000,203.199700,159382399
2016-06-29,204.840000,206.930000,204.720000,206.660000,137328614
2016-06-30,207.210000,209.540000,206.560000,209.475000,165021948
2016-07-01,209.360000,210.490000,209.290000,209.920800,106055333
2016-07-05,208.950000,209.080000,207.710000,208.410000,109803713
2016-07-06,207.830000,209.800000,207.060000,209.660000,96021491
2016-07-07,209.870000,210.649500,208.630000,209.526000,85593827
2016-07-08,211.050000,212.940000,210.778500,212.650000,133970972
2016-07-11,213.190000,214.070000,212.950000,213.400000,73633937
2016-07-12,214.530000,215.300000,213.430800,214.950000,101275629
2016-07-13,215.440000,215.450000,214.350000,214.920000,87324129
2016-07-14,216.400000,216.670000,215.660000,216.120000,91230870
2016-07-15,216.780000,217.012500,215.308000,215.830000,107155401
2016-07-18,215.970000,216.600000,215.670000,216.409200,58725918
2016-07-19,215.920000,216.230000,215.630000,216.190000,54345728
2016-07-20,216.750000,217.370000,216.240000,217.085000,58159457
2016-07-21,216.960000,217.220000,215.750000,216.265000,67777310
2016-07-22,216.410000,217.300000,216.100000,217.240000,62787477
2016-07-25,217.000000,217.060000,215.970000,216.650000,55873147
2016-07-26,216.530000,217.170000,215.760000,216.750000,70080493
2016-07-27,217.190000,217.270000,215.620000,216.520000,84083893
2016-07-28,216.290000,217.110000,215.750000,216.770000,65035718
2016-07-29,216.460000,217.540000,216.130000,217.120000,79519436
2016-08-01,217.190000,217.650000,216.405000,216.940000,73311422
2016-08-02,216.650000,216.830000,214.570000,215.549200,92295506
2016-08-03,215.480000,216.245000,215.130000,216.180000,53993626
2016-08-04,216.310000,216.780000,214.250000,216.409700,46585528
2016-08-05,217.210000,218.230000,217.070000,218.180000,71892161
2016-08-08,218.400000,218.520000,217.740000,218.050000,39906479
2016-08-09,218.130000,218.760000,217.800000,218.180000,51251728
2016-08-10,218.310000,218.403800,217.230000,217.640000,57941092
2016-08-11,218.260000,218.940000,217.950000,218.650000,72504270
2016-08-12,218.290000,218.710000,217.990000,218.460000,61313544
2016-08-15,218.890000,219.500000,218.880000,219.090000,49813482
2016-08-16,218.600000,218.680000,217.960000,217.960000,53213621
2016-08-17,218.000000,218.530000,217.020000,218.370000,75134339
2016-08-18,218.340000,218.900000,218.210000,218.860000,52989266
2016-08-19,218.310000,218.750000,217.740000,218.540000,75443004
2016-08-22,218.260000,218.800000,217.830000,218.530000,61368766
2016-08-23,219.250000,219.600000,218.900000,218.970000,53399159
2016-08-24,218.800000,218.910000,217.360000,217.850000,71728949
2016-08-25,217.400000,218.190000,217.220000,217.700000,69224776
2016-08-26,217.920000,219.120000,216.250000,217.290000,122506348
2016-08-29,217.440000,218.665000,217.400000,218.360800,70502167
2016-08-30,218.260000,218.590000,217.350000,218.000000,58114543
2016-08-31,217.610000,217.750000,216.465000,217.380000,85269453
2016-09-01,217.370000,217.730000,216.030000,217.390000,97844207
2016-09-02,218.390000,218.870000,217.700000,218.370000,79293856
2016-09-06,218.700000,219.120000,217.860000,219.030800,56702089
2016-09-07,218.840000,219.220000,218.300000,219.010000,76554855
2016-09-08,218.620000,218.940000,218.150000,218.510000,74102880
2016-09-09,216.970000,217.030000,213.250000,213.280000,221589073
2016-09-12,212.390000,216.810000,212.310000,216.340000,168110913
2016-09-13,214.840000,215.149900,212.500000,213.230000,182828839
2016-09-14,213.290000,214.700000,212.500000,213.150000,134185491
2016-09-15,212.960000,215.730000,212.750000,215.280000,145736123
2016-09-16,213.480000,213.690000,212.570000,213.370000,155236354
2016-09-19,214.130000,214.880000,213.030000,213.410000,80250490
2016-09-20,214.410000,214.590000,213.380000,213.420000,69665279
2016-09-21,214.240000,216.030000,213.440000,215.820000,110284425
2016-09-22,217.000000,217.530000,216.710000,217.180000,76678713
2016-09-23,216.720000,216.880000,215.880000,215.990000,73630921
2016-09-26,215.020000,215.230000,214.010000,214.240000,89827305
2016-09-27,214.050000,215.680000,213.620000,215.570000,78494829
2016-09-28,215.830000,216.820000,214.710000,216.640000,87411015
2016-09-29,216.400000,216.870000,214.040000,214.680000,128070615
2016-09-30,215.650000,217.120000,215.360000,216.300000,117202914
2016-10-03,215.820000,216.040000,215.040000,215.780000,83512057
2016-10-04,215.910000,216.170000,213.990000,214.680000,119948052
2016-10-05,215.410000,216.130000,215.330000,215.630000,72815963
2016-10-06,215.370000,216.040000,214.735000,215.780000,62927376
2016-10-07,216.100000,216.300000,214.190000,215.040000,89788255
2016-10-10,216.155000,216.700000,215.985000,216.160000,51855023
2016-10-11,215.660000,215.740000,212.580000,213.430000,130367373
2016-10-12,213.590000,214.320000,213.010000,213.710000,73866117
2016-10-13,212.160000,213.590000,211.210000,213.010000,101356960
2016-10-14,214.150000,214.690000,213.030000,213.120000,93346237
2016-10-17,213.090000,213.390000,212.170000,212.380000,58275674
2016-10-18,214.240000,214.310000,213.270000,213.710000,76869656
2016-10-19,214.020000,214.640000,213.600000,214.280000,66519224
2016-10-20,213.870000,214.530000,213.110000,213.880000,73639830
2016-10-21,212.960000,214.080000,212.760000,213.980000,89089092
2016-10-24,215.000000,215.320000,214.480000,214.890000,60146592
2016-10-25,214.680000,214.980000,213.980000,214.170000,66542329
2016-10-26,213.210000,214.420000,212.930000,213.740000,75705478
2016-10-27,214.580000,214.620000,213.080000,213.170000,77220213
2016-10-28,213.140000,213.930000,211.710000,212.540000,140623183
2016-10-31,212.930000,213.190000,212.360000,212.550000,61272507
2016-11-01,212.930000,212.990000,209.600000,211.010000,122781818
2016-11-02,210.650000,211.100000,209.230000,209.740000,103330806
2016-11-03,209.990000,210.240000,208.460000,208.780000,88939346
2016-11-04,208.910000,209.890000,208.380000,208.550000,109122059
2016-11-07,211.450000,213.190000,211.300000,213.150000,109794861
2016-11-08,212.690000,214.770000,212.380000,214.110000,106772138
2016-11-09,212.370000,217.100000,212.340000,216.379200,258428972
2016-11-10,217.300000,218.310000,215.220000,216.920000,172113313
2016-11-11,216.080000,216.700000,215.320000,216.420000,100552732
2016-11-14,217.030000,217.270000,215.720000,216.590000,94579982
2016-11-15,217.040000,218.280000,216.800000,218.280000,91652580
2016-11-16,217.560000,218.140000,217.420000,217.870000,65617697
2016-11-17,218.050000,219.060000,217.920000,218.990000,69797191
2016-11-18,219.070000,219.270000,218.290000,218.500000,86265751
2016-11-21,219.170000,220.180000,219.000000,220.150000,72402638
2016-11-22,220.510000,220.790000,219.730000,220.580000,67428957
2016-11-23,219.980000,220.760000,219.750000,220.700000,56620237
2016-11-25,221.100000,221.560000,221.010000,221.520000,37872255
2016-11-28,221.160000,221.480000,220.360000,220.480000,76572511
2016-11-29,220.520000,221.440000,220.170000,220.910000,69886690
2016-11-30,221.630000,221.820000,220.310000,220.380000,113291793
2016-12-01,220.730000,220.730000,219.150000,219.570000,79040487
2016-12-02,219.670000,220.250000,219.260000,219.680000,74840347
2016-12-05,220.650000,221.400000,220.420000,221.000000,67837821
2016-12-06,221.220000,221.744100,220.662000,221.700000,59877377
2016-12-07,221.520000,224.670000,221.380000,224.600000,110738050
2016-12-08,224.570000,225.700000,224.260000,225.150000,99714387
2016-12-09,225.410000,226.530000,225.370000,226.510000,88005766
2016-12-12,226.400000,226.960000,225.760000,226.250000,102016125
2016-12-13,227.020000,228.340000,227.000000,227.760000,110477485
2016-12-14,227.410000,228.230000,225.365000,225.880000,142501812
2016-12-15,226.160000,227.810000,225.890400,226.810000,124972554
2016-12-16,226.010000,226.080000,224.670000,225.040000,156420152
2016-12-19,225.250000,226.020000,225.080000,225.530000,90341147
2016-12-20,226.150000,226.570000,225.880000,226.400000,89838810
2016-12-21,226.250000,226.450000,225.770000,225.770000,67909039
2016-12-22,225.600000,225.740000,224.920000,225.380000,56219071
2016-12-23,225.430000,225.720000,225.210000,225.710000,36697822
2016-12-27,226.020000,226.730000,226.000000,226.270000,42672487
2016-12-28,226.570000,226.590000,224.270000,224.400000,64095014
2016-12-29,224.480000,224.890000,223.840000,224.350000,48696080
2016-12-30,224.730000,224.830000,222.730000,223.530000,108998328
2017-01-03,225.040000,225.830000,223.883700,225.240000,91366522
2017-01-04,225.620000,226.750000,225.610000,226.580000,78744433
2017-01-05,226.270000,226.580000,225.480000,226.400000,78379012
2017-01-06,226.530000,227.750000,225.900000,227.210000,71559922
2017-01-09,226.910000,227.070100,226.416300,226.460000,46939676
2017-01-10,226.480000,227.450000,226.010000,226.460000,63771939
2017-01-11,226.360000,227.100000,225.590000,227.100000,74650016
2017-01-12,226.500000,226.750000,224.955000,226.530000,72113181
2017-01-13,226.730000,227.400000,226.690000,227.050000,62717865
2017-01-17,226.310000,226.780000,225.800000,226.250000,61240814
2017-01-18,226.535000,226.800000,225.900000,226.750000,54793302
2017-01-19,226.840000,227.000000,225.410000,225.910000,66608787
2017-01-20,226.700000,227.310000,225.971900,226.740000,129168623
2017-01-23,226.350000,226.805000,225.270000,226.150000,75061645
2017-01-24,226.400000,228.080000,226.270000,227.600000,95555295
2017-01-25,228.700000,229.570000,228.510000,229.570000,84437712
2017-01-26,229.400000,229.710000,229.010000,229.330000,59970719
2017-01-27,229.420000,229.590000,228.760000,228.970000,59711118
2017-01-30,228.170000,228.200000,226.410000,227.550000,79737252
2017-01-31,226.980000,227.600000,226.320000,227.530000,75880805
2017-02-01,228.255000,228.590000,226.940000,227.620000,79117651
2017-02-02,227.200000,228.100000,226.820000,227.770000,69657560
2017-02-03,228.820000,229.550000,228.460000,229.340000,80563168
2017-02-06,228.870000,229.326000,228.540000,228.930000,57790108
2017-02-07,229.380000,229.655600,228.720000,228.940000,57931151
2017-02-08,228.610000,229.390000,228.310000,229.240000,51566218
2017-02-09,229.560000,230.950000,229.520000,230.600000,65955245
2017-02-10,231.000000,231.770000,230.621600,231.510000,66015892
